Time,RT,kW_Tot,kW_RT,CH Load,CH1,CH2,CH3,CH4,kW_CHH,kW_CHP,kW_CHS,kW_CDS,kW_CT,GPM,DeltaCHW,CHWS,CHWR,DeltaCDW,CDHI,CDLO,WBT,DeltaCT,Hz_ CHP,Hz_CHS,Hz_CDS,Hz_CT,Precent_CH,Precent_ CHP,Precent_CDS,Precent_CT
2024-08-02 20:00:00,232.0666666666667,232.08333333333334,0.7913333333333333,46.46666666666667,0.8333333333333334,0.0,0.0,0.0,158.06666666666666,22.55,0.0,31.816666666666666,19.666666666666668,1127.2833333333333,4.983333333333333,44.949999999999996,49.93333333333334,5.25,88.3,83.05,72.7,-10.35,47.0,0.0,47.166666666666664,48.166666666666664,59.93333333333334,12.233333333333334,17.183333333333334,10.633333333333333
2024-08-02 21:00:00,251.29999999999998,237.78333333333333,0.9460000000000001,49.5,1.0,0.0,0.0,0.0,168.0,21.333333333333332,0.0,29.849999999999998,18.599999999999998,1315.7166666666667,4.583333333333333,44.88333333333333,49.46666666666667,4.75,87.68333333333334,82.93333333333334,72.7,-10.233333333333333,46.166666666666664,0.0,46.166666666666664,47.166666666666664,70.60000000000001,8.966666666666667,12.566666666666668,7.8500000000000005
2024-08-02 22:00:00,243.16,234.04000000000002,0.9642,48.959999999999994,1.0,0.0,0.0,0.0,166.18,20.02,0.0,29.48,18.380000000000003,1296.6200000000001,4.5,44.82,49.32,4.5,87.17999999999999,82.67999999999999,72.7,-9.98,45.2,0.0,46.0,47.0,70.96000000000001,8.540000000000001,12.620000000000001,7.88
2024-08-02 23:00:00,223.26,229.88000000000002,1.0474,48.22,1.0,0.0,0.0,0.0,164.1,19.7,0.0,27.580000000000002,18.5,1280.78,4.18,44.94,49.12,4.34,86.22,81.88,72.7,-9.18,45.0,0.0,45.0,47.0,71.32000000000001,8.6,12.040000000000001,8.059999999999999
2024-08-03 00:00:00,169.16666666666666,193.1,1.1508333333333332,37.483333333333334,1.0,0.0,0.0,0.0,127.26666666666667,19.583333333333332,0.0,27.650000000000002,18.633333333333333,1261.8500000000001,3.216666666666667,44.81666666666666,48.03333333333333,3.5666666666666664,83.45,79.88333333333334,72.7,-7.183333333333334,45.0,0.0,45.0,47.0,65.86666666666667,10.15,14.316666666666668,9.633333333333333
2024-08-03 01:00:00,177.1,186.0666666666667,1.0516666666666667,35.43333333333333,1.0,0.0,0.0,0.0,120.3,19.616666666666667,0.0,27.55,18.633333333333336,1262.4666666666665,3.3666666666666667,44.800000000000004,48.166666666666664,3.4166666666666665,82.83333333333333,79.41666666666667,72.7,-6.716666666666666,45.0,0.0,45.0,47.0,64.65,10.533333333333333,14.816666666666668,10.033333333333333
2024-08-03 02:00:00,172.08333333333334,193.11666666666667,1.1288333333333334,37.416666666666664,1.0,0.0,0.0,0.0,127.36666666666667,19.55,0.0,27.599999999999998,18.616666666666667,1264.1,3.266666666666667,44.88333333333333,48.15,3.3833333333333333,82.53333333333333,79.14999999999999,72.7,-6.45,45.0,0.0,45.0,47.0,65.7,10.216666666666667,14.383333333333333,9.683333333333334
2024-08-03 03:00:00,169.81666666666666,198.54999999999998,1.1935,39.1,1.0,0.0,0.0,0.0,132.75,19.55,0.0,27.583333333333332,18.616666666666667,1260.7833333333333,3.233333333333333,44.71666666666667,47.949999999999996,3.3333333333333335,82.25,78.91666666666667,72.7,-6.216666666666666,45.0,0.0,45.0,47.0,66.41666666666667,9.966666666666667,14.083333333333334,9.516666666666667
2024-08-03 04:00:00,171.6,182.96666666666667,1.0853333333333335,34.56666666666667,1.0,0.0,0.0,0.0,117.35000000000001,19.55,0.0,27.483333333333334,18.566666666666666,1261.0166666666667,3.266666666666667,44.56666666666666,47.833333333333336,3.266666666666667,82.26666666666667,79.0,72.7,-6.3,45.0,0.0,45.0,47.0,62.833333333333336,11.083333333333334,15.549999999999999,10.516666666666667
2024-08-03 05:00:00,195.1833333333333,209.91666666666666,1.0931666666666666,42.050000000000004,1.0,0.0,0.0,0.0,143.01666666666665,20.73333333333333,0.0,27.5,18.666666666666668,1294.5333333333333,3.6166666666666667,44.68333333333334,48.300000000000004,3.783333333333333,83.18333333333334,79.39999999999999,72.7,-6.7,45.833333333333336,0.0,45.0,47.0,67.56666666666666,10.016666666666667,13.316666666666668,9.033333333333333
